Area_Name,Year,Group_Name,Victims_Upto_10_Yrs,Victims_Upto_10_15_Yrs,Victims_Upto_15_18_Yrs,Victims_Upto_18_30_Yrs,Victims_Upto_30_50_Yrs,Victims_Above_50_Yrs,Victims_Total
Mizoram,2003,Female Victims,,,,5,4,,9
Nagaland,2003,Female Victims,0,0,0,5,1,0,6
Odisha,2003,Female Victims,3,0,3,178,128,21,333
Puducherry,2003,Female Victims,,1,,3,2,2,8
Punjab,2003,Female Victims,3,2,2,89,61,18,175
Rajasthan,2003,Female Victims,2,3,3,123,106,34,271
Sikkim,2003,Female Victims,1,,,4,1,,6
Tamil Nadu,2003,Female Victims,7,7,25,239,182,83,543
Tripura,2003,Female Victims,,,0,18,5,,23
Uttar Pradesh,2003,Female Victims,8,58,86,427,345,75,999
Uttarakhand,2003,Female Victims,0,0,2,28,30,2,62
West Bengal,2003,Female Victims,2,2,2,186,95,10,297
Andaman & Nicobar Islands,2004,Female Victims,0,0,0,0,5,0,5
Andhra Pradesh,2004,Female Victims,13,10,14,301,254,63,655
Arunachal Pradesh,2004,Female Victims,0,0,0,0,2,0,2
Assam,2004,Female Victims,0,0,0,55,25,4,84
Bihar,2004,Female Victims,2,4,0,269,140,10,425
Chandigarh,2004,Female Victims,2,0,0,3,3,0,8
Chhattisgarh,2004,Female Victims,5,5,7,96,124,32,269
Dadra & Nagar Haveli,2004,Female Victims,2,0,0,0,0,0,2
Daman & Diu,2004,Female Victims,,,,1,,,1
Delhi,2004,Female Victims,14,7,7,51,30,16,125
Goa,2004,Female Victims,,1,,7,4,5,17
Gujarat,2004,Female Victims,53,2,6,157,97,25,340
Haryana,2004,Female Victims,0,0,2,100,51,6,159
Himachal Pradesh,2004,Female Victims,1,0,3,7,10,4,25
Jammu & Kashmir,2004,Female Victims,1,,,58,36,12,107
Jharkhand,2004,Female Victims,2,1,1,179,186,30,399
Karnataka,2004,Female Victims,23,0,2,313,172,51,561
Kerala,2004,Female Victims,16,6,2,26,58,29,137
Madhya Pradesh,2004,Female Victims,1,4,18,262,158,51,494
Maharashtra,2004,Female Victims,69,10,16,523,299,87,1004
Manipur,2004,Female Victims,0,0,0,8,6,1,15
Meghalaya,2004,Female Victims,0,0,1,6,1,0,8
Mizoram,2004,Female Victims,0,0,0,2,1,1,4
Nagaland,2004,Female Victims,0,0,0,8,9,0,17
Odisha,2004,Female Victims,1,3,0,221,114,18,357
Puducherry,2004,Female Victims,,,,1,2,0,3
Punjab,2004,Female Victims,13,4,2,84,74,17,194
Rajasthan,2004,Female Victims,4,2,2,146,99,34,287
Sikkim,2004,Female Victims,2,0,0,2,0,1,5
Tamil Nadu,2004,Female Victims,34,6,0,240,157,56,493
Tripura,2004,Female Victims,0,1,0,27,10,6,44
Uttar Pradesh,2004,Female Victims,56,71,124,613,451,86,1401
Uttarakhand,2004,Female Victims,2,0,0,22,18,5,47
West Bengal,2004,Female Victims,1,1,0,218,191,14,425
Andaman & Nicobar Islands,2005,Female Victims,,,,1,3,,4
Andhra Pradesh,2005,Female Victims,14,7,7,324,302,68,722
Arunachal Pradesh,2005,Female Victims,0,0,0,1,0,0,1
Assam,2005,Female Victims,0,0,0,42,19,4,65
Bihar,2005,Female Victims,9,2,3,310,102,16,442
Chandigarh,2005,Female Victims,1,0,0,1,0,1,3
Chhattisgarh,2005,Female Victims,4,6,5,125,148,35,323
Delhi,2005,Female Victims,7,3,3,87,43,15,158
Goa,2005,Female Victims,3,,,7,3,1,14
Gujarat,2005,Female Victims,29,8,2,125,151,31,346
Haryana,2005,Female Victims,3,1,4,80,40,15,143
Himachal Pradesh,2005,Female Victims,3,0,3,13,16,1,36
Jammu & Kashmir,2005,Female Victims,2,0,0,64,36,0,102
Jharkhand,2005,Female Victims,0,6,44,62,45,16,173
Karnataka,2005,Female Victims,17,2,3,306,206,51,585
Kerala,2005,Female Victims,36,7,,25,49,30,147
Lakshadweep,2005,Female Victims,,,,1,,,1
Madhya Pradesh,2005,Female Victims,10,15,20,248,179,56,528
Maharashtra,2005,Female Victims,77,17,19,488,312,67,980
Manipur,2005,Female Victims,1,1,1,12,4,0,19
Meghalaya,2005,Female Victims,1,0,4,8,4,2,19
Mizoram,2005,Female Victims,0,0,0,2,1,1,4
Nagaland,2005,Female Victims,0,0,0,13,2,2,17
Odisha,2005,Female Victims,1,2,3,162,126,32,326
Puducherry,2005,Female Victims,,,,5,1,3,9
Punjab,2005,Female Victims,4,4,1,87,78,13,187
Rajasthan,2005,Female Victims,14,4,9,124,116,29,296
Sikkim,2005,Female Victims,,,,2,2,,4
Tamil Nadu,2005,Female Victims,32,7,,199,159,65,462
Tripura,2005,Female Victims,1,,0,49,10,4,64
Uttar Pradesh,2005,Female Victims,19,59,63,695,447,71,1354
Uttarakhand,2005,Female Victims,2,0,0,25,25,1,53
West Bengal,2005,Female Victims,0,1,0,269,81,14,365
Andaman & Nicobar Islands,2006,Female Victims,,,,,1,,1
Andhra Pradesh,2006,Female Victims,16,9,11,322,306,80,744
Arunachal Pradesh,2006,Female Victims,0,0,0,0,0,0,0
Assam,2006,Female Victims,0,0,0,43,31,2,76
Bihar,2006,Female Victims,2,1,2,282,118,8,413
Chandigarh,2006,Female Victims,0,0,0,0,1,3,4
Chhattisgarh,2006,Female Victims,4,7,10,159,116,40,336
Dadra & Nagar Haveli,2006,Female Victims,0,0,0,2,1,0,3
Daman & Diu,2006,Female Victims,2,0,0,0,0,0,2
Delhi,2006,Female Victims,12,2,8,75,23,8,128
Goa,2006,Female Victims,,,1,4,2,3,10
Gujarat,2006,Female Victims,34,4,3,150,146,29,366
Haryana,2006,Female Victims,0,1,2,90,55,8,156
Himachal Pradesh,2006,Female Victims,1,1,0,11,13,5,31
Jammu & Kashmir,2006,Female Victims,0,1,5,37,32,1,76
Jharkhand,2006,Female Victims,1,1,38,83,58,33,214
Karnataka,2006,Female Victims,30,3,2,294,195,64,588
Kerala,2006,Female Victims,35,3,2,30,41,27,138
Madhya Pradesh,2006,Female Victims,14,14,22,200,186,74,510
Maharashtra,2006,Female Victims,75,14,27,482,321,76,995
Manipur,2006,Female Victims,0,0,1,5,2,1,9
Meghalaya,2006,Female Victims,1,0,0,7,3,0,11
Mizoram,2006,Female Victims,0,0,0,3,0,0,3
Nagaland,2006,Female Victims,0,0,0,3,3,2,8
Odisha,2006,Female Victims,3,0,2,192,175,12,384
Puducherry,2006,Female Victims,,,,3,5,1,9
Punjab,2006,Female Victims,3,5,4,120,81,24,237
Rajasthan,2006,Female Victims,11,6,6,113,83,30,249
Sikkim,2006,Female Victims,,,,3,3,1,7
Tamil Nadu,2006,Female Victims,33,9,4,206,181,82,515
Tripura,2006,Female Victims,,,,22,8,4,34
Uttar Pradesh,2006,Female Victims,11,63,82,408,306,57,927
Uttarakhand,2006,Female Victims,2,0,1,17,33,2,55
West Bengal,2006,Female Victims,0,0,0,335,95,17,447
Andaman & Nicobar Islands,2007,Female Victims,,,,3,2,1,6
Andhra Pradesh,2007,Female Victims,26,16,10,415,352,67,886
Arunachal Pradesh,2007,Female Victims,0,0,0,3,0,0,3
Assam,2007,Female Victims,0,0,0,51,37,0,88
Bihar,2007,Female Victims,4,0,15,237,120,14,390
Chandigarh,2007,Female Victims,2,0,0,3,0,1,6
Chhattisgarh,2007,Female Victims,3,4,3,100,129,71,310
Dadra & Nagar Haveli,2007,Female Victims,,,,2,2,,4
Daman & Diu,2007,Female Victims,0,0,0,1,0,0,1
Delhi,2007,Female Victims,10,3,5,71,25,13,127
Goa,2007,Female Victims,2,,,6,4,4,16
Gujarat,2007,Female Victims,33,5,5,117,126,28,314
Haryana,2007,Female Victims,14,8,9,84,45,7,167
Himachal Pradesh,2007,Female Victims,2,1,1,15,14,2,35
Jammu & Kashmir,2007,Female Victims,0,0,0,26,12,2,40
Jharkhand,2007,Female Victims,2,1,5,87,115,27,237
Karnataka,2007,Female Victims,17,4,6,289,148,41,505
Kerala,2007,Female Victims,22,1,4,34,52,28,141
Madhya Pradesh,2007,Female Victims,33,7,11,253,183,64,551
Maharashtra,2007,Female Victims,73,15,19,521,297,89,1014
Manipur,2007,Female Victims,0,0,2,8,8,2,20
Meghalaya,2007,Female Victims,2,0,0,3,2,0,7
Mizoram,2007,Female Victims,0,1,1,11,5,0,18
Nagaland,2007,Female Victims,1,0,1,9,3,0,14
Odisha,2007,Female Victims,2,2,4,242,116,6,372
Puducherry,2007,Female Victims,1,,,4,3,2,10
Punjab,2007,Female Victims,3,5,4,120,75,18,225
Rajasthan,2007,Female Victims,10,12,6,143,123,25,319
Sikkim,2007,Female Victims,,1,,2,,,3
Tamil Nadu,2007,Female Victims,31,8,3,261,215,86,604
Tripura,2007,Female Victims,3,,2,19,18,8,50
Uttar Pradesh,2007,Female Victims,24,63,74,382,288,68,899
Uttarakhand,2007,Female Victims,2,3,,53,12,7,77
West Bengal,2007,Female Victims,7,0,3,441,175,21,647
Andaman & Nicobar Islands,2008,Female Victims,,2,,,,,2
Andhra Pradesh,2008,Female Victims,25,7,9,411,296,82,830
Arunachal Pradesh,2008,Female Victims,0,0,0,0,1,0,1
Assam,2008,Female Victims,0,0,0,61,42,0,103
Bihar,2008,Female Victims,12,8,12,436,151,18,637
Chandigarh,2008,Female Victims,0,0,0,3,2,1,6
Chhattisgarh,2008,Female Victims,10,7,27,129,150,40,363
Dadra & Nagar Haveli,2008,Female Victims,,1,,,2,1,4
Daman & Diu,2008,Female Victims,,,,0,,,0
Delhi,2008,Female Victims,4,1,2,63,39,7,116
Goa,2008,Female Victims,2,1,0,8,4,5,20
Gujarat,2008,Female Victims,24,3,2,137,145,29,340
Haryana,2008,Female Victims,3,5,5,97,63,12,185
Himachal Pradesh,2008,Female Victims,1,2,3,10,16,4,36
Jammu & Kashmir,2008,Female Victims,0,0,0,13,15,2,30
Jharkhand,2008,Female Victims,2,0,1,115,123,25,266
Karnataka,2008,Female Victims,49,17,14,272,229,43,624
Kerala,2008,Female Victims,25,5,,24,51,23,128
Lakshadweep,2008,Female Victims,,,,,1,,1
Madhya Pradesh,2008,Female Victims,11,13,6,235,187,64,516
Maharashtra,2008,Female Victims,62,11,21,541,341,73,1049
Manipur,2008,Female Victims,2,0,0,9,8,0,19
Meghalaya,2008,Female Victims,0,0,0,11,4,0,15
Mizoram,2008,Female Victims,0,0,0,1,1,0,2
Nagaland,2008,Female Victims,0,0,0,5,1,0,6
Odisha,2008,Female Victims,2,2,0,257,237,47,545
Puducherry,2008,Female Victims,,,,5,1,2,8
Punjab,2008,Female Victims,3,5,7,120,67,17,219
Rajasthan,2008,Female Victims,8,6,12,129,102,30,287
Sikkim,2008,Female Victims,,,,3,,,3
Tamil Nadu,2008,Female Victims,45,3,4,233,246,93,624
Tripura,2008,Female Victims,3,2,1,36,17,4,63
Uttar Pradesh,2008,Female Victims,30,55,73,360,257,65,840
Uttarakhand,2008,Female Victims,,,,29,16,3,48
West Bengal,2008,Female Victims,1,0,5,175,53,16,250
Andaman & Nicobar Islands,2009,Female Victims,1,,,3,4,,8
Andhra Pradesh,2009,Female Victims,18,6,7,379,299,91,800
Arunachal Pradesh,2009,Female Victims,0,0,0,1,0,0,1
Assam,2009,Female Victims,0,0,0,62,35,0,97
Bihar,2009,Female Victims,9,5,27,439,174,18,672
Chandigarh,2009,Female Victims,0,0,0,1,2,0,3
Chhattisgarh,2009,Female Victims,15,2,7,124,134,44,326
Dadra & Nagar Haveli,2009,Female Victims,,,,3,3,,6
Daman & Diu,2009,Female Victims,,,,1,,,1
Delhi,2009,Female Victims,13,4,2,48,41,18,126
Goa,2009,Female Victims,1,0,1,14,12,3,31
Gujarat,2009,Female Victims,34,6,2,120,129,34,325
Haryana,2009,Female Victims,0,2,2,96,106,15,221
Himachal Pradesh,2009,Female Victims,4,1,1,10,14,9,39
Jammu & Kashmir,2009,Female Victims,0,0,0,26,16,4,46
Jharkhand,2009,Female Victims,1,1,0,119,72,8,201
Karnataka,2009,Female Victims,16,9,7,335,246,66,679
Kerala,2009,Female Victims,17,4,5,20,45,18,109
Madhya Pradesh,2009,Female Victims,18,11,11,277,231,77,625
Maharashtra,2009,Female Victims,79,15,18,490,294,104,1000
Manipur,2009,Female Victims,2,1,1,5,7,2,18
Meghalaya,2009,Female Victims,0,0,3,16,2,1,22
Mizoram,2009,Female Victims,0,0,0,3,,0,3
Nagaland,2009,Female Victims,0,0,0,9,0,0,9
Odisha,2009,Female Victims,3,1,0,215,201,40,460
Puducherry,2009,Female Victims,1,,,3,5,1,10
Punjab,2009,Female Victims,15,6,8,92,68,14,203
Rajasthan,2009,Female Victims,13,8,8,150,114,35,328
Sikkim,2009,Female Victims,1,,,3,2,,6
Tamil Nadu,2009,Female Victims,45,6,5,214,224,93,587
Tripura,2009,Female Victims,4,3,3,22,21,4,57
Uttar Pradesh,2009,Female Victims,38,56,71,443,266,81,955
Uttarakhand,2009,Female Victims,1,1,,38,10,1,51
West Bengal,2009,Female Victims,2,5,4,409,248,25,693
Andaman & Nicobar Islands,2010,Female Victims,,,2,,3,,5
Andhra Pradesh,2010,Female Victims,15,12,6,235,213,143,624
Arunachal Pradesh,2010,Female Victims,0,0,0,2,0,0,2
Assam,2010,Female Victims,,,,51,35,,86
Bihar,2010,Female Victims,10,14,50,370,187,31,662
Chandigarh,2010,Female Victims,0,0,0,1,0,1,2
Chhattisgarh,2010,Female Victims,13,5,19,127,153,40,357
Dadra & Nagar Haveli,2010,Female Victims,,,,1,,,1
Delhi,2010,Female Victims,4,3,4,55,39,14,119
Goa,2010,Female Victims,0,0,1,5,1,0,7
